user,film,rating
21141,1286,0.773561608242499
23576,8596,0.877659095662206
12506,1518,4.062644923245362
11725,6188,1.1721246233839244
19632,167,4.967629959749128
24525,4133,2.5728524709104015
20805,2803,4.771180977183854
273,3103,4.256739816367741
22389,4332,1.0819337768644899
9244,3172,2.8073265725720216
3583,6230,0.8591199850498688
18708,3656,0.5226159021142995
5020,2414,4.305035464674449
8640,8372,4.045898316442845
75,5791,1.1401624271040212
12226,1453,0.1457491215344342
5957,2391,1.8987910164453603
17178,3628,2.2862621959719998
10525,865,1.5848472994355327
343,3689,4.982757260685535
5376,4321,0.7832434309506303
14974,8788,2.2841774157839243
1634,58,1.6835368760763214
2620,6721,4.747934350813575
9545,6638,1.2335868962111707
5824,1634,3.3950546574166007
7700,2322,0.7398229504713771
15717,8605,3.200554322248908
14163,7943,0.16300902067635958
8402,4283,1.699388243722944
23748,7038,0.5151085471272776
23331,2843,2.3792784715859163
7782,8328,4.50898900881982
15301,1167,3.3103379627865133
5137,3728,4.366367909322247
5227,4999,1.7559751451215604
18589,416,4.981606674276263
21684,5238,4.521939393752328
6352,4390,2.2514398267344875
16920,2400,3.325002268063587
10316,3851,3.434882921510281
16665,7675,2.3536293271780084
10434,644,4.277672710727864
20678,2631,0.36970868152174763
12367,2419,3.818284257838685
9802,3429,0.8848652060606399
23748,8712,1.5019421810429945
5509,3388,4.512701564770751
22965,3602,2.8394341247337254
16006,1081,0.21352883935487177
2620,280,1.130171730904419
8578,5281,2.5493357346239014
24187,8572,3.883609723474671
14586,142,2.903967480668499
16819,6572,2.7534184123587684
15216,1282,4.296776067177323
16459,1506,0.4671918357034982
21196,6690,0.6009348841683065
548,6191,1.6225959525849505
4937,2789,2.3802837051667454
24185,2483,3.667526100939125
23061,3942,4.936961215879919
18407,5498,4.244920386051501
3450,989,0.9976363977234998
20543,6417,0.9554748067722635
11542,1853,1.327227925930461
13279,1503,0.1777343630305439
11268,621,2.4419940066299524
20581,1956,0.8617831693026867
20743,8289,1.9321480429908915
16782,8482,4.166787345581899
16544,7251,4.038480210344073
2593,6034,3.9458219858613344
24715,6570,1.6920895932412523
4291,1637,2.31037579457303
2104,5707,1.2884736405144332
15220,6761,3.1572430706457593
8198,2080,1.5651637915188816
8149,4322,4.392459620685642
15553,6994,3.951907564142601
3626,1969,3.675552149077856
11236,5867,3.7786316356250866
19817,3747,0.775363249233515
12968,8087,3.4362133764479674
14217,2789,4.57518819261641
22349,546,3.8082743121522817
10199,7330,2.773856015572474
7205,6486,2.701620372244546
5430,6029,3.045991474376856
